seed,nn1_final,nn2_final,nn1_all,nn2_all
42,86.66,92.09,"[96.87274476786143, 94.4122036146576, 89.6220531370837, 86.66]","[97.88308876593698, 95.80500746144918, 94.82350006236747, 92.09]"
43,88.03999999999999,91.8,"[97.30574933846525, 92.85358978610513, 91.23113384058875, 88.03999999999999]","[98.00336781332692, 94.74382357817942, 93.36410128476986, 91.8]"
44,88.84,91.22,"[97.25763771950926, 93.26811474050739, 91.21866034676313, 88.84]","[97.85903295645898, 94.19665063836842, 93.83809405014345, 91.22]"
45,88.66000000000001,92.2,"[95.52561943709405, 93.566572707677, 91.66770612448548, 88.66000000000001]","[95.93456819821988, 94.81014757088376, 94.83597355619308, 92.2]"
46,88.19,92.44,"[97.76280971854703, 92.85358978610513, 92.42858924784832, 88.19]","[98.21987009862882, 95.05886254352512, 94.34950729699388, 92.44]"
47,88.4,92.60000000000001,"[97.90714457541496, 93.9147736693749, 92.32880129724336, 88.4]","[97.76280971854703, 94.69408058365114, 94.00024946987652, 92.60000000000001]"
48,85.3,90.83,"[97.88308876593698, 92.83700878792904, 91.79244106274167, 85.3]","[98.29203752706277, 95.4402255015752, 93.8131470624922, 90.83]"
49,84.41,90.49000000000001,"[95.28506134231417, 93.2349527441552, 91.13134588998378, 84.41]","[98.09959105123887, 94.84330956723595, 93.41399526007234, 90.49000000000001]"
50,88.62,92.39,"[97.93120038489295, 92.80384679157685, 91.36834227267057, 88.62]","[98.00336781332692, 95.57287348698391, 94.72371211176251, 92.39]"
51,89.19,91.77,"[96.9208563868174, 93.38418172774001, 91.0814519146813, 89.19]","[98.55665143132066, 95.68894047421654, 94.71123861793689, 91.77]"
52,89.16,92.17999999999999,"[96.89680057733942, 93.76554468579008, 93.0772109267806, 89.16]","[97.45008419533318, 95.02570054717295, 94.88586753149558, 92.17999999999999]"
53,87.42,92.74,"[96.9449121962954, 94.16348864201625, 90.44530372957466, 87.42]","[97.52225162376715, 96.03714143591444, 93.3890482724211, 92.74]"
54,87.91,91.66,"[98.12364686071686, 93.11888575692257, 92.51590370462766, 87.91]","[98.00336781332692, 95.70552147239265, 94.38692777847075, 91.66]"
55,87.26,91.93,"[97.47414000481116, 94.06400265295972, 90.55756517400523, 87.26]","[98.36420495549675, 95.19151052893385, 94.69876512411126, 91.93]"
56,87.35000000000001,91.52,"[98.72504209766659, 93.08572376057039, 92.12922539603343, 87.35000000000001]","[98.41231657445273, 95.63919747968828, 94.82350006236747, 91.52]"
57,87.76,91.96,"[97.30574933846525, 93.79870668214227, 92.37869527254584, 87.76]","[97.810921337503, 95.17492953075775, 95.0854434327055, 91.96]"
58,86.42,92.03,"[98.12364686071686, 94.89305256176421, 91.50555070475241, 86.42]","[98.46042819340872, 96.40192339578843, 93.9378820007484, 92.03]"
59,86.46000000000001,91.12,"[97.95525619437095, 93.61631570220527, 92.34127479106898, 86.46000000000001]","[98.05147943228289, 95.2412535234621, 94.79855307471622, 91.12]"
60,85.71,91.36,"[94.80394515275438, 92.48880782623114, 90.63240613695896, 85.71]","[97.88308876593698, 95.1086055380534, 93.6260446551079, 91.36]"
61,88.41,92.07,"[97.47414000481116, 93.83186867849444, 92.36622177872022, 88.41]","[97.810921337503, 95.20809152710993, 94.79855307471622, 92.07]"
62,86.69,90.18,"[98.36420495549675, 93.96451666390317, 92.20406635898715, 86.69]","[98.65287466923262, 96.38534239761233, 94.44929524759885, 90.18]"
63,86.95,91.5,"[96.24729372143372, 94.0805836511358, 91.48060371710116, 86.95]","[96.43974019725763, 95.53971149063175, 94.00024946987652, 91.5]"
64,87.19,91.57,"[98.17175847967285, 94.06400265295972, 92.37869527254584, 87.19]","[98.24392590810682, 95.0920245398773, 94.74865909941374, 91.57]"
65,88.02,92.29,"[97.64253067115708, 93.18520974962694, 90.98166396407635, 88.02]","[98.07553524176087, 95.32415851434256, 93.56367718597978, 92.29]"
66,87.67,91.2,"[96.12701467404379, 91.82556789918753, 91.0190844455532, 87.67]","[96.63218667308155, 94.9262145581164, 93.56367718597978, 91.2]"
67,87.92999999999999,92.03,"[98.12364686071686, 94.19665063836842, 92.30385430959211, 87.92999999999999]","[98.31609333654077, 95.67235947604046, 93.9877759760509, 92.03]"
68,88.24,91.99000000000001,"[97.90714457541496, 93.26811474050739, 92.62816514905825, 88.24]","[97.97931200384893, 95.04228154534903, 94.91081451914681, 91.99000000000001]"
69,84.17,90.72,"[96.4878518162136, 90.25037307245897, 91.3808157664962, 84.17]","[97.04113543420736, 93.78212568396617, 93.56367718597978, 90.72]"
70,88.39,91.91,"[97.54630743324513, 91.04626098491129, 85.79269053261818, 88.39]","[97.97931200384893, 95.14176753440557, 94.01272296370213, 91.91]"
71,87.58,91.38,"[96.9449121962954, 91.24523296302436, 91.45565672944991, 87.58]","[97.71469809959105, 93.38418172774001, 94.84844705001872, 91.38]"
