seed,nn1_final,nn2_final,nn1_all,nn2_all
42,86.66,92.09,"[96.87274476786143, 94.4122036146576, 89.6220531370837, 86.66]","[97.88308876593698, 95.80500746144918, 94.82350006236747, 92.09]"
43,88.03999999999999,91.8,"[97.30574933846525, 92.85358978610513, 91.23113384058875, 88.03999999999999]","[98.00336781332692, 94.74382357817942, 93.36410128476986, 91.8]"
44,88.84,91.22,"[97.25763771950926, 93.26811474050739, 91.21866034676313, 88.84]","[97.85903295645898, 94.19665063836842, 93.83809405014345, 91.22]"
45,88.66000000000001,92.2,"[95.52561943709405, 93.566572707677, 91.66770612448548, 88.66000000000001]","[95.93456819821988, 94.81014757088376, 94.83597355619308, 92.2]"
46,88.19,92.44,"[97.76280971854703, 92.85358978610513, 92.42858924784832, 88.19]","[98.21987009862882, 95.05886254352512, 94.34950729699388, 92.44]"
47,88.4,92.60000000000001,"[97.90714457541496, 93.9147736693749, 92.32880129724336, 88.4]","[97.76280971854703, 94.69408058365114, 94.00024946987652, 92.60000000000001]"
48,85.3,90.83,"[97.88308876593698, 92.83700878792904, 91.79244106274167, 85.3]","[98.29203752706277, 95.4402255015752, 93.8131470624922, 90.83]"
49,84.41,90.49000000000001,"[95.28506134231417, 93.2349527441552, 91.13134588998378, 84.41]","[98.09959105123887, 94.84330956723595, 93.41399526007234, 90.49000000000001]"
50,88.62,92.39,"[97.93120038489295, 92.80384679157685, 91.36834227267057, 88.62]","[98.00336781332692, 95.57287348698391, 94.72371211176251, 92.39]"
51,89.19,91.77,"[96.9208563868174, 93.38418172774001, 91.0814519146813, 89.19]","[98.55665143132066, 95.68894047421654, 94.71123861793689, 91.77]"
