dataset,seed,consolidation_lambda,nn1_final,nn2_final,improvement
mnist,42,0.0,86.83999999999999,90.39,3.5500000000000087
mnist,43,0.0,83.95,90.45,6.499999999999995
mnist,44,0.0,82.25,91.0,8.750000000000002
mnist,45,0.0,88.9,92.47999999999999,3.5799999999999943
mnist,46,0.0,87.64999999999999,91.10000000000001,3.4500000000000086
mnist,47,0.0,88.96,92.28,3.3200000000000007
mnist,48,0.0,87.89,92.13,4.239999999999999
mnist,49,0.0,88.62,90.55,1.9299999999999984
mnist,50,0.0,88.74,92.12,3.3800000000000052
mnist,51,0.0,87.79,92.07,4.279999999999995
mnist,42,0.5,86.83999999999999,90.3,3.4600000000000075
mnist,43,0.5,83.95,88.74,4.789999999999994
mnist,44,0.5,82.25,86.06,3.8100000000000023
mnist,45,0.5,88.9,91.23,2.3299999999999987
mnist,46,0.5,87.64999999999999,90.34,2.6900000000000035
mnist,47,0.5,88.96,91.12,2.1600000000000064
mnist,48,0.5,87.89,91.03999999999999,3.1499999999999972
mnist,49,0.5,88.62,90.58,1.9600000000000062
mnist,50,0.5,88.74,91.9,3.1600000000000072
mnist,51,0.5,87.79,90.7,2.9100000000000015
cifar10,42,0.0,23.96,34.22,10.26
cifar10,43,0.0,24.73,33.64,8.909999999999998
cifar10,44,0.0,26.21,35.480000000000004,9.27
cifar10,45,0.0,26.61,34.339999999999996,7.729999999999998
cifar10,46,0.0,22.439999999999998,34.22,11.780000000000001
cifar10,42,0.5,23.96,33.339999999999996,9.379999999999997
cifar10,43,0.5,24.73,32.769999999999996,8.04
cifar10,44,0.5,26.21,34.07,7.86
cifar10,45,0.5,26.61,33.22,6.609999999999999
cifar10,46,0.5,22.439999999999998,29.7,7.26
